scan_pk,timepoint,scan_id,peak1,peak2,peak3,peak4,peak5,peak6,peak7,peak8,peak9,peak10,peak11,peak12,peak13,peak14,peak15
8,3.0,8,52940.66490804257,10763.583520880104,2520.49983265962,2088.632852217639,2238.963900566983,1318.9718070132446,249.43923001604844,138.72705436387332,246.26600481346335,183.07403447371593,118.50035006022756,149.78449944264196,245.58596104432743,146.69544091115927,112.58000506850897
8,4.0,8,53462.11441335052,11148.426412980773,2608.509346112492,2037.0897410520388,2278.697135955827,1343.4256670644304,220.45399925398397,169.691003170982,237.02384154977548,209.4465582940278,160.05721426317234,185.980698378905,217.82182748303651,140.74536137620646,117.93246353624431
8,5.0,8,53218.95076993154,11064.286260683959,2449.1286036551896,2015.4367777910943,2295.6890937771054,1329.827013420422,169.5506495451641,162.23690413432067,203.35465452308844,180.09001227568473,109.43302562939732,183.65017366726067,254.55726454118965,115.30002381359864,150.57472390797602
8,10.0,8,53058.01970652915,11099.382972344243,2504.737942783023,1978.1353820937961,2264.6172321348226,1330.2124788871824,178.11693394642134,141.27254700182928,195.39910169517188,177.3923459362083,120.39839764324972,133.9701341401559,203.43309691901894,146.49272993529348,135.23076197695354
8,20.0,8,53680.764798019045,11307.554332054762,2695.323417465778,2033.4755105909858,2460.7354597149274,1458.463836462174,264.1043408340629,185.98776120419237,267.7863719374999,224.8871312649229,137.30799730034812,145.92625767784114,250.95059060540237,150.0300559880095,123.85514905283424
9,-4.0,9,55381.1327744658,21248.04731356149,2597.6595150492294,1686.799898905208,2601.7383224040723,2509.3845459800177,356.35044992472024,152.26452290958883,181.83609946845556,238.19618324667283,29.49682097309855,251.98262200758654,313.1814454424611,104.07302252976584,72.76439733048922
9,-3.0,9,55018.28911356791,21363.314745425992,2498.2088222975945,1546.7978269099435,2492.715119671451,2482.3427060590234,329.86703740888254,128.3298518740626,150.91257934051026,200.62257557286387,-1.940280769365387,256.66122409823674,300.65596308155267,82.07934704029424,50.38196608490495
9,-2.0,9,55295.846325367245,20572.1548445023,2487.3080291985843,1593.236502240146,2504.2817386227694,2467.5053005380796,288.1608941193582,108.87848994527852,157.47343248786134,236.23149594755284,5.209176331526891,235.52367622841052,330.33038941848775,98.52047705027178,41.257217850206935
9,-1.5,9,54978.9746654892,21349.286710140095,2462.980009084088,1559.045738713712,2556.5670258483115,2461.9085152400507,336.69033362288417,144.46151126398473,146.9828381644267,195.55669153394487,18.49724570334783,241.9834843627525,305.42694970250585,65.18040856391838,58.100513420124635
9,-1.0,9,55461.344941609685,20640.084180593178,2528.0926149368147,1705.025091637519,2580.674223401091,2496.199816727271,311.8376394041435,134.3472727478407,196.5664030104535,188.1033935388383,18.513662168831928,252.7371493532478,296.82670605858965,108.77782010857743,51.83370429503391
