"scan_pk","timepoint","scan_id","peak1","peak2","peak3","peak4","peak5","peak6","peak7","peak8","peak9","peak10","peak11","peak12","peak13","peak14","peak15"
1,"-4.5",1,"70882.64172059142","40089.83127511511","5465.875855062783","3253.399928462868","3430.214088166827","5177.2718675962815","1211.8906694279965","268.2665425090023","163.70669470191237","180.30234574365684","781.8650788612475","194.45657368192985","39.74166345409955","89.91559794673009","102.4996201438059"
1,"-4.0",1,"71143.06232039437","40074.72195858618","5521.975940553529","3270.297217387878","3386.4701554016215","5240.4351876315","1257.0957285811116","287.6124053672044","175.76561823707547","203.97425957249746","768.5016612110838","158.39313766514795","34.80048438186961","119.0788058053652","72.1874692369001"
1,"-3.5",1,"70612.18470143806","39643.859368922276","5508.157353106599","3317.7512869729526","3459.462939926369","5167.279557084586","1265.9795030640562","269.6357084956977","183.0308582612548","203.31720898895358","813.4075297474322","192.17191563756194","11.031657875612355","70.36104355520212","101.03380056287115"
1,"-3.0",1,"70751.48119998319","40094.98305035951","5432.687977319151","3202.0306217069974","3439.9353766384415","5168.2460278093895","1262.2690554419637","285.6789459217968","217.2782104412448","188.96135249307125","787.5117183666101","178.61212827022962","3.072307909421143","95.58236308323154","73.04910738445513"
1,"-2.5",1,"71652.00802767804","40286.287098414294","5584.922023948413","3374.784809932489","3534.0270554338576","5270.038408518078","1280.0274627156116","351.62413482396636","229.40092632669493","226.96351254194886","809.7964612625705","198.40157176554487","48.921410905360716","95.29661896454722","86.6272452960596"
1,"-2.0",1,"72032.66643488844","40096.68316675564","5527.807132164519","3385.9590799537923","3579.3657571992226","5272.011956716597","1305.8420574377064","350.4577304352269","255.05983054098428","226.01363212825552","837.4402142994282","172.23970694967295","48.02898209476572","135.64247484712592","109.22041314172732"
1,"-1.5",1,"71574.77424388143","39510.672219397566","5440.334326299532","3353.070331039721","3509.389721541574","5228.524317203387","1325.8952847095425","350.88616474246413","212.9146169916772","241.26701690584903","827.4037769259954","200.44478036316798","77.24094499435704","74.65817014113264","80.46387731621515"
1,"-1.0",1,"71981.2785103161","40430.72722551031","5522.883567643734","3328.4812370576306","3472.564702195009","5243.994646702259","1339.1443634682998","320.48593789120577","253.54278662868123","235.66690471369432","816.3579107089844","193.48412671115818","5.650826025130955","97.70070245924131","98.7166787629886"
1,"-0.5",1,"71817.62679190643","40300.472729845846","5582.701283626476","3395.9551765008123","3540.7368631622808","5312.1714010910155","1320.1074457792993","350.49251274769057","211.76332897766324","243.83543543173803","828.852439556771","208.1349074240128","37.94461336565516","73.59793246344594","75.33972711791246"
1,"0.0",1,"71977.68017498562","40367.78407157162","5619.102894023094","3290.2387788581264","3482.89159523147","5245.385357087379","1339.0992412456305","334.79754324743925","238.92143373644157","217.76016265139677","807.7391212361623","194.3465140724337","74.14462920992125","101.9677518903373","68.95449546924974"
1,"0.5",1,"71830.09855876409","40188.2054177794","5414.073046252009","3278.2660946932847","3480.222833439243","5158.247580538567","1259.7011793680203","312.79826657295865","217.09746110312594","215.3125624477964","820.3765630151446","193.25343520949707","40.80120967046079","100.65333395340491","105.70724310936312"
1,"1.0",1,"71485.16142688734","40261.71880264062","5434.9443809578615","3310.585644762898","3517.9890894763935","5218.932527791521","1259.1894653470638","323.20750366256124","191.76541324652757","178.36329412724126","801.6002916707788","213.49698984377767","30.067676712821797","81.0219809479641","56.04447295658687"
1,"1.5",1,"71778.35668483321","39588.3497085397","5411.667627808112","3496.6118351961795","3491.947231484163","5090.236989543169","1293.8232364802307","396.8622091726156","241.34432567986696","210.37251397384037","778.1330181315753","235.17145982179716","43.618665130331436","101.34051718580899","97.68016889726944"
1,"2.0",1,"71693.98343166197","39290.01263591721","5467.281375876102","3482.0041977753085","3375.638359532582","4963.761714249277","1239.6672793399478","388.16344552996287","255.0493778467006","202.07900879764682","733.4384502127319","231.41946659835605","82.14972675306693","119.16075508011937","106.04335543467342"
1,"2.5",1,"71742.32775207756","39013.37383222412","5484.006644343836","3466.15078425084","3405.7364731916045","4892.784070798221","1217.067948193624","386.84128111427816","269.78465885687257","252.91846499248416","700.280647975061","237.07856127299385","66.59690028212775","105.4161206751865","117.15956704569824"
1,"3.0",1,"71570.07407574772","38726.042712624905","5506.020954365266","3475.9427906414744","3325.1257520617664","4819.922951988269","1199.2483951857573","435.56626395484955","280.7107485512039","266.66297805291725","674.8012411061974","257.0575760319051","46.52808791556319","110.96094167991606","77.38571137407526"
1,"3.5",1,"71256.17937809344","38629.59515874918","5373.203445493985","3432.4392820317485","3290.6453200692495","4747.369482717278","1194.9905059334412","392.20451351489896","297.8541181258114","262.06696039382524","667.2489722632291","234.97782506714805","76.12127033899104","103.31877284823469","109.99718839843372"
1,"4.0",1,"71266.13035996971","38340.6514788662","5358.509500832553","3478.1014037786194","3258.1971563955467","4736.269849529789","1180.6246931279338","364.1100909008057","270.6760889170949","256.7299438328644","646.6335679249714","226.9789754675279","75.91501082615035","99.8280518401171","75.81105672382405"
1,"4.5",1,"71565.21861917291","38414.19636092172","5460.98515632275","3539.8804152091034","3276.0930374958107","4716.375117112807","1183.3514459555902","394.5463984828855","291.6377897203032","268.15837982526915","656.4594901147805","219.27066521186578","60.092606975805865","74.74842740576224","104.12432170503105"
1,"5.0",1,"71131.1471334968","38314.05105801416","5569.913756539731","3565.178109116706","3271.5873176484583","4731.234544109747","1230.726865596421","368.0947023894843","261.92104402547085","269.08103368883263","666.9322600622639","225.07482059611505","80.25395525149018","94.52620883022456","94.00030777608727"
1,"5.5",1,"71548.56344118004","38366.36701415275","5523.065713456133","3513.762122500619","3318.7672607278073","4698.540900316465","1226.3289047768174","375.5866382479359","300.63740055327787","276.84227193120506","619.7733586444499","234.9466787902137","75.41690739018802","131.71958757868975","94.60368179329244"
