fluence,peak_id,bragg_peak,tau,tau_err,t0,t0_err
0.78,1,(011),0.6309358359750629,3.0286507602043944,2.978590453687098,2.46707686828979
0.78,2,(01-1),1.634874789042765,0.33160236739036447,1.153648141798164,0.23038053347494744
0.78,5,(002),1.935352460929768,0.6631651101886636,1.390011876425117,0.4354083721068371
0.78,6,(022),1.8936092135301106,0.24699447231798566,0.9587838858920495,0.16557036458341493
1.3,1,(011),8.644775547692978,3.504494247596525,0.029126418824837227,0.7327856071846596
1.3,2,(01-1),2.867561433004603,0.2724931726729335,0.15174442527661622,0.15915275082860855
1.3,5,(002),4.189937324713124,0.8602827206764929,-0.1078097857951694,0.39892707018468077
1.3,6,(022),2.777306733264539,0.256522369293759,-0.050685439620217654,0.15385934278013058
2.6,1,(011),7.06026640721643,2.28874771912604,0.4195825914368185,0.5939774579159599
2.6,2,(01-1),3.060758699956499,0.30421483645599406,0.5004583639832462,0.16857022596982102
2.6,5,(002),3.8502563691816456,0.784424735117031,-0.6502111952868017,0.40269223454429176
2.6,6,(022),2.7453025260823396,0.20886143006932276,-0.26011834867242595,0.12700580902800107
5.2,1,(011),3.241182676771347,0.4734338696938275,2.939770218601275,0.21756096690458326
5.2,2,(01-1),2.737164153580295,0.18322548089932927,2.0815982053916393,0.09981764955894645
5.2,5,(002),2.913338108147482,0.3502353611526966,1.2723058049646594,0.19144497286010023
5.2,6,(022),2.1356445699101347,0.09244735239995316,1.381481673234974,0.05856913772757918
7.8,1,(011),3.641383546815375,0.5683698303069659,1.7857555863463461,0.2575756432717582
7.8,2,(01-1),2.3377872743247243,0.1614161812187824,1.8645573244279379,0.09655430952274847
7.8,5,(002),2.0875285443761165,0.257605692206896,1.0565003859049227,0.1666340903148555
7.8,6,(022),1.73747793085736,0.08235455607579414,1.4131678382380655,0.05593161163097323
10.4,1,(011),9.697872306105232,2.1001911160006865,-0.45863457118797724,0.3982550314383217
10.4,2,(01-1),2.7082453939370175,0.21327222198509108,2.5731052759649526,0.1139313632014648
10.4,5,(002),2.591019219398647,0.38603274553033645,1.3949666849079405,0.2240658101038368
10.4,6,(022),1.9913125913721745,0.09914468779642324,2.044123845342713,0.06319932155666072
