,scan_id,timepoint,peak1,peak2,peak5,peak6,peak1_norm,peak2_norm,peak5_norm,peak6_norm
128,4,-0.5,84150.85630921584,36836.93165811393,3182.512683984003,4429.939456291589,0.9926781760907669,0.9800993352784556,0.9914793158740144,0.9794070590832528
129,4,0.0,84076.71445872486,36930.247951188656,3097.9397929449533,4377.6317810272985,0.991803568271603,0.9825821489303099,0.9651314956215229,0.9678424526357944
130,4,0.5,82492.40290423023,37169.83925694117,2895.6058020701594,4382.76414762104,0.9731143763458991,0.9889568188318629,0.902096407698647,0.968977158001705
131,4,1.0,85404.56357075235,36598.454307051,3311.7139421018155,4521.791916710932,1.0074674235484604,0.9737543037371476,1.0317306479907333,0.9997145483878986
132,4,1.5,83913.33193313035,36153.77011964693,3082.384467132081,4199.9328544285845,0.989876240676548,0.9619228439258749,0.9602853927692833,0.9285553281006906
133,4,2.0,83341.73127487183,34066.05486008037,2784.399621958639,3717.463974586834,0.9831334037788774,0.9063761888151154,0.8674512583068442,0.8218871825498777
134,4,2.5,83517.85469055826,32284.225892959257,2606.270899998592,3316.8367991386153,0.9852110281634475,0.8589680766937403,0.811957074646476,0.7333132669092701
135,4,3.0,83563.08409930064,30367.434181417782,2537.621363223418,3056.117262056612,0.9857445729061305,0.8079690874243598,0.7905700127505556,0.675671270313499
136,4,3.5,82277.71863498774,27666.243725771033,2278.129387947899,2657.333467208782,0.9705818722434582,0.7361000459251679,0.7097279386825607,0.5875049042546433
137,4,4.0,81960.50057580782,25551.63167718649,2249.2625654257386,2512.1880127729,0.9668398373050057,0.6798377632132196,0.7007347750135633,0.5554149662157718
138,4,4.5,80641.76014806364,23449.03657400713,1968.1138601306634,2200.653942263772,0.951283431821264,0.6238952085479231,0.613145767941368,0.48653847911881215
139,4,5.0,80138.52649992846,20518.513115404992,2061.725593203903,2106.072538851364,0.9453470803462092,0.545924433988006,0.6423095470937099,0.4656276528932864
140,4,5.5,78258.74708379936,18185.37151037515,1857.9105012331042,1880.5413242226225,0.9231724277746507,0.48384785938555613,0.5788130372544981,0.41576537693434606
141,4,6.0,78191.65625373862,16430.413798343372,1919.8933923837908,1774.1392321714195,0.9223809966979141,0.43715469549862096,0.5981231738089405,0.3922411366858322
142,4,6.5,76201.83360437627,14638.7326353918,1671.812200469772,1658.508215997678,0.8989082288028976,0.38948445159401024,0.5208360127308551,0.3666764908014082
143,4,7.0,75782.97636848991,13385.63738043227,1742.0619028501933,1629.8759272741484,0.8939672162547393,0.35614405729013504,0.5427215898746675,0.3603462314445433
144,4,7.5,76234.81907906971,13731.286578219295,1771.4729828511613,1649.429461444184,0.8992973390543233,0.36534054933607274,0.5518843114013485,0.3646692858756732
145,4,8.0,74856.26321681483,12588.15689314442,1646.277698050129,1615.2229119677847,0.883035326057641,0.3349259465434926,0.5128809993486246,0.35710662359673734
146,4,8.5,74677.32492853094,12054.214741858597,1625.507923360728,1548.0999280331555,0.8809244962760194,0.3207196507420584,0.5064103882168802,0.34226652816406955
147,4,9.0,73790.10148403046,11801.885954637977,1597.6344193438154,1545.0864154012522,0.8704584429368182,0.31400608189973933,0.4977266827809904,0.3416002762720418
148,4,9.5,75356.24193986598,12624.489554311358,1736.8439336899878,1736.6199307769477,0.8889332810951854,0.3358926290399912,0.5410959848867446,0.3839460642587297
149,4,10.0,74167.57564108308,11960.980734148277,1722.6713583749297,1559.3510316041722,0.8749112836348084,0.318239026410197,0.5366806638266708,0.34475401368585934
150,4,10.5,73680.7979254832,11627.927376151496,1542.7595052299148,1538.694751658374,0.8691690531207453,0.30937766472528583,0.48063096386112547,0.3401871552461617
151,4,11.0,72239.98047353102,11038.55285284435,1449.0769236161645,1507.6881895699582,0.8521725767565825,0.2936965112599387,0.4514451125697377,0.3333319722155748
152,4,11.5,73669.60658096445,10989.916697623079,1576.442343042837,1480.2869897420148,0.8690370354093145,0.29240247667949965,0.49112450789616297,0.3272738920084687
153,4,12.0,75235.44975431936,11924.682981658312,1717.5175595342735,1616.4603385168564,0.8875083667010426,0.3172732727090556,0.5350750504462742,0.35738020392649483
154,4,12.5,72436.65120148732,10564.245991610609,1354.6649586837925,1434.639758936584,0.8544925857033806,0.28107689777726125,0.4220320293564171,0.3171818308145067
155,4,13.0,73242.4040803883,11063.817004983659,1560.3602647782704,1481.4067183263821,0.8639975786801392,0.29436870021823525,0.4861143006986149,0.3275214507145429
156,4,13.5,73695.30758334734,11192.445619999477,1502.1748555157947,1512.7099975295257,0.869340215023737,0.29779104877985935,0.4679872308334319,0.3344422343790849
157,4,14.0,72278.12093880068,10888.316517859133,1358.485989388133,1394.5541698212048,0.8526224974010026,0.28969925835569876,0.4232224324387799,0.30831938261753317
158,4,14.5,72912.4849532772,11214.050999991052,1434.4388987856546,1475.1774029942255,0.860105716710789,0.29836589086401316,0.4468847854679043,0.32614422299624873
159,4,15.0,73059.30994185133,11173.112262595407,1484.9232986087418,1454.0124130242955,0.8618377247764792,0.2972766571112944,0.46261268451157583,0.3214648948053103
160,5,-4.5,73921.42361737265,30737.746120999465,2116.560262788532,3960.7310584764946,1.0056880686440548,1.0113608295561194,1.0070839552557627,1.002622993150133
161,5,-4.0,73500.27677487262,30707.57568693047,2053.0200002041825,4005.7457854473378,0.9999584393441414,1.0103681349353764,0.9768507603468068,1.0140180612890697
162,5,-3.5,73616.19796393786,30874.073082094757,2129.940087555385,3966.639075585293,1.0015355268925277,1.0158463812267413,1.0134502312762144,1.004118553871058
163,5,-3.0,74003.91122859929,30523.098241490785,2205.0867266954415,3932.637426643307,1.006810298200279,1.0042982929398108,1.0492058749495203,0.99551134612811
164,5,-2.5,73192.04451324538,30049.149589554345,2095.3881598914613,3944.3793720613944,0.9957649932128247,0.9887040102652599,0.9970100227996311,0.9984837126651644
165,5,-2.0,73127.46487493868,30064.675824011196,2049.9903403616972,3932.9969156147354,0.9948863985031428,0.9892148683255207,0.9754092130065815,0.9956023474870046
166,5,-1.5,73162.00237783168,29790.919195410293,2061.7192036176198,3909.4552348129832,0.9953562752030293,0.9802074827511716,0.9809899423654831,0.98964298540946
167,5,-1.0,72380.82195033797,29674.611200314877,1916.791373528196,3887.2868471946085,0.9847284518069974,0.9763806130145078,0.9120315975835587,0.9840312599933455
