scan_pk,timepoint,scan_id,peak1,peak2,peak3,peak4,peak5,peak6,peak7,peak8,peak9,peak10,peak11,peak12,peak13,peak14,peak15
1,12.5,1,85466.04543682108,43176.42818827308,6685.63349511286,4181.982724248309,3708.697602252931,5411.1081823761515,1431.8552067135724,438.3038847125773,394.8848429801668,341.4069196673859,700.2010340660397,298.66635744782144,108.12815417842467,153.52438477139543,149.49045038003715
1,13.0,1,85670.50685408035,42895.267977473784,6592.043181595928,4238.840702645067,3690.633209687925,5446.238015165898,1467.0327087167916,469.39681633914773,416.2505854029149,369.8898068981994,693.7799641140664,295.24572445842125,126.63482587578392,179.77699974389287,133.35797481547613
1,13.5,1,85568.01680276582,43044.475791893914,6563.352948848698,4177.900299471607,3752.1229068834064,5443.040012282724,1408.6228328922791,447.9234166119069,409.02586313427844,363.2347503954755,651.7575545159559,294.4402172854728,102.3740285840986,136.74229006335707,149.43568641780857
1,14.0,1,85499.04251398957,42856.67823362697,6648.18414614229,4175.708421020368,3778.459671998625,5472.58488547347,1424.0014990750376,415.09336580407705,376.6704718704051,385.47967799156055,711.8413747242073,311.3720735219157,118.34587862327089,113.0943328300163,123.62498838985341
1,14.5,1,85962.58971764536,43121.6375986639,6678.887522073228,4169.243771921717,3790.232024454432,5424.685753894297,1438.0806860829707,481.73905536147043,407.2413854126381,378.64277763718707,712.8344859222343,314.8352256725774,99.35478982607356,163.31086400303997,164.04175043281893
1,15.0,1,85821.02220819877,43161.3094645989,6579.2650775216525,4112.015314658858,3819.300023950702,5450.334699411102,1392.9411105370552,433.84858908237095,367.2271873544024,367.3337249724196,715.3922123117491,315.1544811660541,108.91890119471714,160.13676600922776,149.20069886706958
2,-4.5,2,87069.37434127038,44431.05636865309,6444.856204105333,4029.294085736552,3970.475623115329,5664.582593211975,1471.4095383505874,330.69182835490494,124.72664944331154,258.70295364337795,872.9929982535806,318.65088039740147,55.42515568611838,64.05112889313055,187.36127366283412
2,-4.0,2,86780.63025557871,44686.4492140839,6526.420260341137,3958.5266176185182,3946.8469078024723,5729.236426755233,1441.8498015691264,307.22181208059015,105.65235256401888,268.51476578367857,849.5883081709618,325.86473064287327,50.91420492342308,22.563383615833438,199.80203641874172
2,-3.5,2,87605.62432191292,44478.389788746,6475.921447753602,4112.534382628813,4030.937052469659,5710.215510492288,1507.501314642939,428.8979300662244,184.10500781240285,285.8667769018505,890.7395537558851,366.25709528771756,70.4246188161012,45.807257928631174,182.60741260914037
2,-3.0,2,87265.0674509101,44754.68442962082,6498.331775667287,4092.108966359082,4048.667957753558,5796.709235809862,1505.1949901401183,410.05525117119385,197.7932850872303,284.77809131334544,882.7549033326696,379.6866312169867,72.09200729037866,72.0598165268069,208.2880313192828
2,-2.5,2,86909.20032293738,44533.59716212663,6410.541922813405,4009.177609155786,4008.5590111762576,5681.840988007176,1491.67614513372,382.76988328448044,174.82235291616553,284.60759479249083,884.5145745648853,354.71705880800175,59.782997204371206,79.04070653564587,158.6613553721879
2,-2.0,2,86412.40796304062,44627.379115089214,6399.281898667247,3973.757455561404,3915.1305997681,5724.268649898602,1476.672721427852,326.8923772293134,127.01163853152138,263.8745464231054,866.0769011633512,338.49117229535307,59.597376296844,59.938866150759935,151.48910698777283
2,-1.5,2,87504.30008520075,43887.33938805428,6388.462017603704,4074.886886243712,4001.30528735789,5730.739014922847,1555.8225375986647,415.4866837114131,197.9378408514244,291.017985155625,869.8328327066796,353.42656465138805,58.539363933969746,39.238134683652646,163.11209870380057
2,-1.0,2,86783.963857852,44635.87958931536,6562.179506163698,4051.3178532447987,3894.5604783199215,5725.376097878876,1457.4060747986541,318.6474051787974,153.4304762941997,239.775363814513,838.9571957518361,325.197836272126,49.733580761452,48.57421648615727,167.41479351848122
2,-0.5,2,86979.07791443181,44788.504079772676,6485.078360633457,3986.7589868395785,4008.788750416293,5728.072789822241,1555.9271961075403,365.45799855791904,162.91731555598312,268.95288740801135,843.3037382398187,363.357852650165,54.67926641514236,30.069793514378354,217.26135034239311
2,0.0,2,87036.0637243825,44557.83831544027,6437.1600101871445,3998.599889888067,3963.8329622178844,5738.277750476831,1502.1333552749647,362.35309219668113,133.34198886149534,268.7752434560571,868.0999608742301,363.4615448511696,32.85774153736269,25.02540993332932,152.15973708372027
2,0.5,2,87299.98345089394,44013.853787898166,6276.24434482991,4168.248159840985,3938.877540172123,5547.810087363602,1416.956601776649,438.7378092294349,181.50201985329522,274.1890756473461,797.2353912496754,376.39742136922666,68.81477583992205,56.33127367292499,157.1953821056801
2,1.0,2,86668.41323564267,43231.05664713875,6312.089779588013,4310.328375682978,3855.408205886563,5360.110185266612,1388.2304668224683,433.26135321169215,233.27414951180614,297.6058745896847,747.8090024202678,443.66426273240165,67.26231217905251,87.73759483181276,229.22538242478933
2,1.5,2,85617.34035841633,43147.20415471752,6418.70624860948,4242.385561555196,3676.6343930863063,5274.64636962786,1379.8340852830345,448.8220861331014,221.18158431984259,312.920611155198,697.430583750834,408.7029514293596,32.013501976940915,15.204277623172722,248.25219476935783
2,2.0,2,86915.46861276387,42378.38877610532,6345.06198898407,4312.731150305509,3815.251589483948,5243.361129586248,1423.75088103544,518.8777371186078,292.68364059276496,365.1061151863116,690.9986177691441,450.06073288058803,55.3788164646487,92.57923469275157,200.10480100185532
